"Djibouti","64","76","19","36","41","19","62","75","19","36","41","18","61","74","18","35","40","18","60","72","18","34","39","17","59","71","17","33","38","17","57","69","17","32","37","16","56","68","16","32","36","16","55","67","15","31","36","15","54","65","15","30","35","14","52","64","14","29","34","14","51","62","14","28","33","13","50","61","13","28","32","13","49","59","13","27","31","12","47","58","12","26","30","12","47","58","12","26","30","12","47","58","12","26","30","12","47","58","12","26","30","12","47","58","12","26","30","12"
"Dominica","","","","","","","","","","","","","78","","","","","","78","","","","","","78","","","","","","78","","","","","","78","","","","","","77","","","","","","75","","","","","","74","","","","","","73","","","","","","72","","","","","","70","","","","","","69","","","","","","68","","","","","","67","","","","","","65","","","","","","64","","","","",""
"Dominican Republic","84","86","74","","","","84","86","73","","","","83","86","73","","","","83","86","73","","","","82","85","73","","","","82","85","73","","","","82","85","73","","","","81","85","73","","","","81","84","73","","","","81","84","72","","","","80","84","72","","","","80","83","72","","","","79","83","72","","","","79","83","72","","","","79","83","72","","","","78","82","72","","","","78","82","71","","","","78","82","71","","",""
"Ecuador","88","91","83","42","33","57","87","91","81","42","34","56","86","90","80","42","34","56","85","89","78","42","35","55","84","88","76","42","35","54","83","88","75","42","36","53","82","87","73","42","36","52","81","86","71","42","36","51","79","85","69","42","37","51","78","85","68","42","37","50","77","84","66","42","37","49","76","83","64","42","38","48","75","83","63","42","38","47","74","82","61","42","38","47","73","81","59","41","39","46","72","81","57","41","39","45","71","81","56","41","40","44","70","80","54","41","40","43"
"Egypt","94","98","91","61","71","","94","98","91","60","70","","94","98","91","60","69","","94","98","91","59","69","","94","98","91","59","68","","94","97","91","58","68","","94","97","91","58","67","","93","97","91","57","67","","93","97","91","57","67","","93","97","91","56","66","","93","96","91","56","66","","93","96","90","55","65","","93","96","90","55","65","","93","96","90","54","64","","93","96","90","54","64","","92","95","90","54","64","","92","95","90","54","64","","92","95","90","54","64",""
"El Salvador","87","91","79","","","","87","91","78","","","","87","91","78","","","","87","91","78","","","","87","91","78","","","","86","91","77","","","","86","91","77","","","","86","90","77","","","","85","90","77","","","","85","90","76","","","","85","90","76","","","","85","90","76","","","","84","90","75","","","","84","90","75","","","","84","90","74","","","","83","90","74","","","","83","90","74","","","","83","90","74","","",""
"Equatorial Guinea","66","70","57","","","","66","70","57","","","","66","70","57","","","","66","70","57","","","","66","70","57","","","","65","69","56","","","","65","69","55","","","","64","69","55","","","","63","68","54","","","","62","68","53","","","","61","67","52","","","","60","67","51","","","","60","67","50","","","","59","66","49","","","","58","66","48","","","","57","65","47","","","","56","65","46","","","","55","64","46","","",""
"Eritrea","","","","","","","12","22","6","","","","12","22","6","","","","12","22","6","","","","12","22","6","","","","12","22","6","","","","11","22","5","","","","11","23","5","","","","11","23","5","","","","11","24","4","","","","11","24","4","","","","10","25","3","","","","10","25","3","","","","10","26","3","","","","9","26","2","","","","9","26","2","","","","9","27","2","","","","8","27","1","","",""
"Estonia","99","99","99","97","99","94","99","99","99","97","99","94","99","99","99","97","98","94","99","99","99","97","98","94","99","99","99","97","98","94","99","99","99","96","97","94","99","99","99","96","97","94","99","99","99","96","97","94","99","99","99","96","97","94","99","99","99","96","97","94","99","100","99","96","97","94","100","100","99","96","97","94","100","100","99","96","97","94","100","100","99","96","97","93","100","100","99","96","97","93","100","100","99","96","97","93","100","100","99","96","97","93","100","100","99","96","97","93"
"Eswatini","58","51","61","","","","58","51","61","","","","58","52","60","","","","57","53","59","","","","57","54","58","","","","56","56","57","","","","56","57","56","","","","55","58","55","","","","55","59","54","","","","54","60","53","","","","54","61","52","","","","53","62","51","","","","53","64","50","","","","52","65","49","","","","52","66","48","","","","51","67","47","","","","51","68","46","","","","50","68","45","","",""
