"Democratic People's Republic of Korea","95","97","90","67","77","50","95","97","91","67","77","50","95","97","92","67","77","50","96","98","92","67","78","51","96","98","93","67","78","51","96","98","94","67","78","52","97","98","94","68","78","52","97","98","95","68","78","52","97","98","96","68","78","53","98","98","97","68","78","53","98","99","97","68","78","54","98","99","98","69","78","54","99","99","99","69","79","54","99","99","99","69","79","55","99","99","100","69","79","55","99","99","100","69","79","55","99","99","100","69","79","55","99","99","100","69","79","55"
"Democratic Republic of the Congo","43","69","23","","","","43","69","23","","","","42","69","22","","","","42","69","22","","","","41","69","21","","","","41","69","21","","","","40","69","20","","","","40","69","20","","","","39","69","19","","","","38","69","19","","","","38","69","19","","","","37","68","18","","","","37","68","18","","","","36","68","17","","","","36","68","17","","","","35","68","16","","","","34","68","16","","","","34","68","16","","",""
"Denmark","100","100","100","97","","","100","100","100","97","","","100","100","100","97","","","100","100","100","97","","","100","100","100","97","","","100","100","100","97","","","100","100","100","96","","","100","100","100","96","","","100","100","100","96","","","100","100","100","95","","","100","100","100","95","","","100","100","100","95","","","100","100","100","94","","","100","100","100","94","","","100","100","100","94","","","100","100","100","94","","","100","100","100","94","","","100","100","100","94","",""
"Djibouti","76","84","47","","","","76","84","48","","","","76","84","48","","","","76","84","48","","","","76","83","49","","","","76","83","49","","","","76","83","50","","","","76","83","50","","","","76","83","51","","","","76","83","51","","","","76","83","52","","","","76","83","52","","","","76","83","52","","","","76","82","53","","","","76","82","53","","","","76","82","54","","","","76","82","54","","","","76","82","55","","",""
"Dominica","","","","","","","","","","","","","97","","","","","","97","","","","","","97","","","","","","97","","","","","","97","","","","","","96","","","","","","96","","","","","","96","","","","","","95","","","","","","95","","","","","","95","","","","","","95","","","","","","94","","","","","","94","","","","","","94","","","","","","93","","","","",""
"Dominican Republic","97","98","90","","","","97","98","90","","","","96","98","89","","","","96","98","89","","","","95","98","88","","","","95","98","87","","","","95","98","87","","","","94","97","86","","","","94","97","85","","","","94","97","85","","","","93","97","84","","","","93","97","83","","","","92","97","83","","","","92","97","82","","","","91","97","81","","","","91","96","81","","","","90","96","80","","","","90","96","79","","",""
"Ecuador","94","100","83","75","85","58","94","100","83","75","85","57","93","100","82","74","84","57","92","99","81","74","84","56","92","98","80","73","83","56","91","98","80","73","83","55","90","97","79","72","83","55","90","96","78","72","82","54","89","96","77","71","82","54","88","95","76","71","81","53","87","95","76","70","81","53","87","94","75","70","80","52","86","93","74","69","80","52","85","93","73","69","79","51","85","92","72","68","79","51","84","92","72","67","78","50","83","91","71","67","78","50","82","90","70","66","77","50"
"Egypt","99","99","99","","","","99","99","99","","","","99","99","99","","","","99","99","98","","","","99","99","98","","","","99","99","98","","","","99","99","98","","","","99","99","98","","","","99","99","98","","","","98","99","98","","","","98","99","98","","","","98","99","97","","","","98","99","97","","","","98","99","97","","","","98","99","97","","","","98","99","97","","","","98","99","97","","","","98","99","97","","",""
"El Salvador","97","99","92","","77","","97","99","92","","77","","96","99","89","","77","","95","99","87","","77","","94","98","84","","77","","92","98","81","","76","","91","97","79","","76","","90","97","76","","76","","89","97","74","","77","","87","96","71","","78","","86","96","69","","80","","85","95","67","","81","","83","95","64","","82","","82","95","62","","83","","81","94","60","","84","","79","94","58","","85","","78","93","56","","86","","78","93","56","","86",""
"Equatorial Guinea","65","78","31","","","","64","78","31","","","","64","78","31","","","","64","78","31","","","","64","78","31","","","","63","77","31","","","","62","76","32","","","","60","75","33","","","","59","74","33","","","","58","73","34","","","","57","72","34","","","","56","70","35","","","","55","69","36","","","","54","68","36","","","","53","67","37","","","","53","66","37","","","","52","65","38","","","","51","64","39","","",""
"Eritrea","","","","","","","52","90","28","","","","51","90","28","","","","51","90","28","","","","51","90","28","","","","50","90","28","","","","50","90","28","","","","50","90","28","","","","50","90","29","","","","50","90","29","","","","49","90","29","","","","49","90","29","","","","48","90","30","","","","48","90","30","","","","48","90","30","","","","47","90","30","","","","47","90","31","","","","47","91","31","","",""
"Estonia","100","100","99","93","","","100","100","99","94","","","100","100","99","94","","","100","100","99","94","","","100","100","99","95","","","100","100","99","95","","","100","100","99","95","","","100","100","99","95","","","99","100","99","95","","","99","100","98","95","","","99","100","98","95","","","99","100","98","95","","","99","100","98","94","","","99","100","98","94","","","99","100","98","94","","","99","100","98","94","","","99","100","97","93","","","99","100","97","93","",""
"Eswatini","69","97","60","","89","","69","97","60","","89","","68","96","59","","88","","67","95","58","","88","","66","95","57","","87","","65","94","56","","86","","64","94","55","","85","","63","93","54","","83","","62","92","53","","81","","61","92","52","","80","","59","91","51","","78","","58","90","50","","77","","57","90","48","","75","","57","89","47","","73","","56","88","46","","72","","55","88","45","","70","","54","87","44","","69","","53","87","43","","67",""
"Ethiopia","41","80","31","11","38","5","40","80","30","11","38","4","39","80","29","10","38","4","38","80","28","10","38","3","37","80","27","9","38","3","36","79","26","9","37","2","34","79","25","8","37","2","33","79","23","8","37","2","32","79","22","7","37","1","30","79","21","7","37","1","29","78","19","7","36","1","28","78","18","6","36","1","26","78","17","6","36","1","25","78","15","6","36","0","23","78","14","6","36","0","22","77","12","5","35","0","20","77","10","5","33","0","19","77","9","5","31","0"
"Fiji","94","98","89","","","","94","98","89","","","","94","98","89","","","","94","98","89","","","","94","98","89","","","","94","98","89","","","","94","98","89","","","","94","98","90","","","","94","98","90","","","","94","98","90","","","","94","99","90","","","","94","99","90","","","","94","99","90","","","","95","99","90","","","","95","99","91","","","","95","99","91","","","","95","99","91","","","","95","99","91","","",""
